,SqFtTotLiving,SqFtLot,Bathrooms,Bedrooms,BldgGrade,TrafficNoise,BadFeature,AdjSalePrice,SqFtTotLiving_norm,SqFtLot_norm,AdjSalePrice_norm
0,2400,9373,3.0,6,7,0,0.3355995256088946,300805.0,0.349914339070939,0.6541805992818122,-0.7982370342477545
3,3200,8618,3.75,5,7,0,-0.8491974208508314,442065.0,1.2254068047472149,0.4429098468147082,-0.309216933950415
4,1720,8620,1.75,4,7,0,-1.3428915317250159,297065.0,-0.3942542567538955,0.4434695044371376,-0.8111843312540695
5,930,1012,1.5,2,8,0,-0.3767416690761186,411781.0,-1.258803066609218,-1.6854680912843556,-0.41405542126037276
7,1860,14659,1.75,4,7,0,-1.8493823388157125,349489.0,-0.24104307526054725,2.133355695362755,-0.6297006151420227
8,990,5324,1.0,2,6,3,-0.05618796590841659,231239.0,-1.1931411316834972,-0.4788462573265377,-1.0390636822534514
9,1980,10585,2.0,4,6,0,-0.6435460421113283,463148.0,-0.10971920540910586,0.9933331184740375,-0.23623087438246365
10,840,12750,1.0,2,6,0,-0.4228724044429562,160236.0,-1.357295968997799,1.5991624947538787,-1.2848650002586333
11,1750,5200,1.0,3,7,1,2.042062616343436,372178.0,-0.3614232892910352,-0.5135450299171613,-0.5511548339184185
12,790,5240,1.0,2,6,1,-0.9834758792678877,315175.0,-1.4120142481025661,-0.5023518774685731,-0.7484903342529027
13,790,5240,1.0,2,6,1,1.494007828866564,327739.0,-1.4120142481025661,-0.5023518774685731,-0.7049957247375709
14,2120,7320,2.75,3,8,0,0.07023549087982625,634754.0,0.04349197608424242,0.07969204985801812,0.3578423475602324
15,2620,3485,1.5,4,7,0,0.0321206246102269,432352.0,0.5906747671319148,-0.9934514411503844,-0.3428418258815212
16,1500,5253,1.75,3,6,0,0.5616100601471579,505014.0,-0.6350146848148713,-0.4987141029227819,-0.09129730848236159
17,2070,4600,2.25,3,7,0,-0.899885290837399,502857.0,-0.01122630302052482,-0.6814423166459858,-0.09876450624776836
20,1530,3296,2.5,3,8,0,0.8808527349837593,538921.0,-0.602183717352011,-1.046339086469964,0.026083440071948835
21,1530,3696,2.5,3,8,0,0.5068928161250247,518725.0,-0.602183717352011,-0.9344075619840811,-0.04383196376215189
22,2780,13349,2.5,3,10,1,-1.7687822301946052,802796.0,0.7657732602671701,1.7667799526714885,0.9395775570616166
23,2420,8186,2.5,3,10,0,0.9549868113864352,694292.0,0.3718016507128459,0.32202380036995465,0.5639536227372323
24,2280,9093,2.5,4,10,1,1.1623292963126153,671246.0,0.2185904692194976,0.5758285321416942,0.48417196316302524
25,2280,9093,2.5,4,10,1,-1.0970382020507947,641815.0,0.2185904692194976,0.5758285321416942,0.3822864288868607
26,3130,8750,2.5,3,10,0,-0.4750938648555106,936052.0,1.1488012140005408,0.47984724989504957,1.4008890570277943
27,3060,9055,3.25,3,10,0,-0.8178340446231057,768075.0,1.0721956232538665,0.5651950373155353,0.819378867394167
28,3190,10223,3.5,3,10,0,1.9070445675147538,853936.0,1.2144631489262614,0.8920350888143134,1.1166162653244365
29,3130,13412,2.75,4,9,0,-1.3377101179990556,842280.0,1.1488012140005408,1.784409167778015,1.0762650102694613
30,2660,9021,2.5,3,9,0,-0.8821542198671642,639944.0,0.6344493904157287,0.5556808577342353,0.3758093185395839
31,2230,9948,2.75,3,9,0,-1.5522724887334456,735333.0,0.16387219011473037,0.8150821657302689,0.7060311672388825
32,2341,9594,2.5,4,9,0,0.6586767674210567,603442.0,0.28534676972731365,0.7160227665602625,0.24944508449559774
33,3540,9185,3.75,4,9,0,0.7844472895674929,771088.0,1.5974911026596321,0.6015727827734473,0.829809403725725
34,2470,9001,2.5,3,9,0,1.1440527142886676,708571.0,0.4265199298176131,0.550084281509941,0.6133852949172246
